Albany;43;25
Alexander;49;30
Athens;23;3
Atlanta;22;3
Augusta;25;3
Baltimore;37;18
Bloomington;18;18
Boston;47;24
Charlotte;30;10
Chicago;16;22
Cincinnati;22;19
Cleveland;29;21
Columbia;29;9
Dallas;0;7
Des Moines;6;23
Erie;30;24
Frakfort;21;18
Grand rapids;20;22
Greenville;27;10
Huntsville;9;21
Indianapolis;19;19
Jackson;5;9
Jacksonville;31;2
Jefferson city;17;27
Jonesboro;9;10
Lakes;32;15
Lansing;21;24
Lexington;19;16
Louisville;20;16
Madison ;19;9
Magoffin;26;15
Memphis;10;10
Montcon, CA;52;31
Montpelier;19;22
Montreal, CA;42;30
Myrtle beach;34;7
Nashville;18;13
New York;42;20
Ocean city;17;40
Okhlahoma city;0;10
Ottawa;40;30
Philadelphia;40;19
Pittsburgh;32;20
Providence;46;22
Quebec, CA;44;31
Richmond;36;15
Royalton;33;27
Saguenay, CA;45;39
Saint Louis;21;27
Saint Paul;4;29
Sudbury, CA;30;31
Sussex;39;21
Syracuse;41;27
Timmins, CA;31;37
Topeka;1;19
Toronto, CA;29;25
Washington;37;17
Worcester;45;23
